,Usuario,N̼mero de Vocales
0,jbutt,1
1,josephine_darakjy,6
2,art,1
3,lpaprocki,3
4,donette.foller,5
5,simona,3
6,mitsue_tollner,5
7,leota,3
8,sage_wieser,5
9,kris,1
10,minna_amigon,5
11,amaclead,4
12,kiley.caldarera,6
13,gruta,2
14,calbares,3
15,mattie,3
16,meaghan,3
17,gladys.rim,2
18,yuki_whobrey,4
19,fletcher.flosi,4
20,bette_nicka,4
21,vinouye,4
22,willard,2
23,mroyster,2
24,alisha,3
25,allene_iturbide,7
26,chanel.caudy,4
27,ezekiel,4
28,wkusko,2
29,bfigeroa,4
30,ammie,3
31,francine_vocelka,6
32,ernie_stenseth,5
33,albina,3
34,asergi,3
35,solange,3
36,jose,2
37,rozella.ostrosky,5
38,valentine_gillian,7
39,kati.rulapaugh,6
40,youlanda,4
41,doldroyd,2
42,roxane,3
43,lperin,2
44,erick.ferencz,4
45,fsaylors,2
46,jina_briddick,4
47,kanisha_waycott,5
48,emerson.bowley,5
49,bmalet,2
